Rate,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS)
7200,query,1000.0,0.0,2827.5959999999995,0.024,0.0,0.0,2803.184
7200,transfer,1000.0,0.0,1441.2160000000001,2.5024,1.1703999999999999,1.7963999999999998,344.376
7300,open,1000.0,0.0,1352.672,2.1484,1.198,1.5828,387.352
7300,query,1000.0,0.0,2772.4959999999996,0.0192,0.0,0.0,2760.5040000000004
7300,transfer,1000.0,0.0,1420.132,2.6404,1.0092,1.96,324.068
7400,open,1000.0,0.0,1354.3039999999999,2.0516,1.1736,1.5356,400.844
7400,query,1000.0,0.0,2857.284,0.022000000000000002,0.0,0.0004,2840.0359999999996
7400,transfer,1000.0,0.0,1445.7879999999998,2.516,1.1476,1.8628,339.14
7500,open,1000.0,0.0,1364.0,2.1216,1.1388,1.584,387.548
7500,query,1000.0,0.0,2829.268,0.0212,0.0,0.0,2814.9759999999997
7500,transfer,1000.0,0.0,1430.908,2.5340000000000003,1.1452,1.9016,333.19599999999997
7600,open,1000.0,0.0,1354.736,2.1136,1.144,1.5848,390.9
7600,query,1000.0,0.0,2811.1,0.0196,0.0,0.0,2788.42
7600,transfer,1000.0,0.0,1467.92,2.386,1.1520000000000001,1.7872,349.436
7700,open,1000.0,0.0,1358.2720000000002,2.0456,1.1840000000000002,1.5592,394.82800000000003
7700,query,1000.0,0.0,2860.384,0.022400000000000003,0.0,0.0,2841.772
7700,transfer,1000.0,0.0,1435.168,2.608,0.9376000000000001,1.86,330.42400000000004
7800,open,1000.0,0.0,1355.976,2.0168,1.1912,1.5624,403.056
7800,query,1000.0,0.0,2822.684,0.024399999999999998,0.0,0.0004,2797.828
7800,transfer,1000.0,0.0,1423.4879999999998,2.42,1.0624,1.8519999999999999,348.12800000000004
7900,open,1000.0,0.0,1372.5839999999998,2.05,1.1704,1.5504,397.816
7900,query,1000.0,0.0,2824.288,0.0204,0.0,0.0,2807.116
7900,transfer,1000.0,0.0,1420.7839999999999,2.6172000000000004,1.0659999999999998,1.8584,331.704
8000,open,1000.0,0.0,1350.3239999999998,1.9556,1.124,1.5263999999999998,415.48800000000006
8000,query,1000.0,0.0,2849.844,0.026000000000000002,0.0,0.0,2829.488
8000,transfer,1000.0,0.0,1452.004,2.2640000000000002,1.1688,1.6932,363.652
8100,open,1000.0,0.0,1435.836,1.9024,1.218,1.5568,424.144
8100,query,1000.0,0.0,2911.1,0.0236,0.0,0.0,2893.992
8100,transfer,1000.0,0.0,1499.184,2.1488,1.0944,1.6352000000000002,380.224
8200,open,1000.0,0.0,1443.7879999999998,2.064,1.25,1.6032,406.96
8200,query,1000.0,0.0,2951.88,0.024,0.0,0.0,2933.316
8200,transfer,1000.0,0.0,1504.5479999999998,2.112,1.1968,1.6732,391.16
8300,open,1000.0,0.0,1433.036,1.9352,1.1960000000000002,1.5615999999999999,415.38
8300,query,1000.0,0.0,2938.8920000000003,0.0256,0.0,0.0,2914.364
8300,transfer,1000.0,0.0,1516.2120000000002,2.0752,1.208,1.6428,399.18
8400,open,1000.0,0.0,1477.4920000000002,1.9243999999999999,1.2096,1.5924,420.25199999999995
8400,query,1000.0,0.0,2926.6079999999997,0.0196,0.0,0.0,2908.336
8400,transfer,1000.0,0.0,1499.908,2.028,1.1708,1.6032,404.46
